9.069564991763660357e-04,1.563890232504662513e-03,nan,9.657723693273350405e-04
9.232021036481706956e-04,1.601099179071538555e-03,8.560313124741826410e-04,9.776443080271332662e-04
9.424116349581515822e-04,1.630624962618222118e-03,8.765274777691415154e-04,1.005626073554821438e-03
9.549893622629736884e-04,nan,8.778310646968228012e-04,nan
nan,1.670551526418142954e-03,nan,nan
6.682885950114451261e-04,1.145824091508984566e-03,6.086692869579991881e-04,6.886280501160878687e-04
6.742015294730663343e-04,1.110731273383637994e-03,5.785957320675820092e-04,7.014009620874158378e-04
6.568711806113356269e-04,1.142622007486911954e-03,nan,6.838598196486850647e-04
6.542891456649221373e-04,1.106947579189835034e-03,5.937289406961583031e-04,6.867700193557271576e-04
6.579201819526182176e-04,1.107573974877595901e-03,5.926356379253168395e-04,6.834329352525535554e-04
6.566629386865175354e-04,1.107619617154253925e-03,5.925538749477573695e-04,nan
6.566164203179188736e-04,1.106152018787814190e-03,5.927303514908999421e-04,6.855065003037452698e-04
6.556923230809550383e-04,1.102956165687753436e-03,5.953440286870691428e-04,6.835612508913744721e-04
6.533936104927387696e-04,nan,nan,nan
6.558516894588033554e-04,1.106043682009184501e-03,5.936406396485708606e-04,6.845146954919283707e-04
6.559013457196514411e-04,1.106076312237348931e-03,5.935819254253160574e-04,nan
6.586741089720178676e-04,1.105056324387123593e-03,5.918254321014958935e-04,6.862673908472061157e-04
6.557154407103856853e-04,1.106962749081385642e-03,5.911756625832759963e-04,6.849590745387655263e-04
6.585256163994749473e-04,1.107474515104995118e-03,5.944663952168536929e-04,6.877713916232673424e-04
nan,1.106014455305063832e-03,5.931255884876298397e-04,6.862132180502961056e-04
6.607874759099110085e-04,1.109022784873213603e-03,5.940307800968488289e-04,6.860328435495092634e-04
nan,nan,nan,nan
6.562320825954278672e-04,1.111075922024030689e-03,5.963897307547146726e-04,6.841702445868462230e-04
6.566318648463902174e-04,1.107170676055564164e-03,5.923095637479343584e-04,6.862793076369498027e-04
6.587431271327659488e-04,nan,nan,nan
6.585760527978773080e-04,1.109349160370501526e-03,5.936259961502994781e-04,nan
6.570266039104935606e-04,nan,nan,6.847338765177108212e-04
nan,1.111114790630823032e-03,5.939200423975907065e-04,nan
nan,1.112388097681105137e-03,5.947092459315345917e-04,6.856856537827601397e-04
6.629131574011007258e-04,1.110090429504071406e-03,5.952220870159476845e-04,6.849614819143451166e-04
6.582134917966629044e-04,1.110773260608829234e-03,5.957368949923334215e-04,6.859509857090491641e-04
6.579881758277953329e-04,nan,5.948709812564927828e-04,6.837408360562577088e-04
6.594253537147791965e-04,nan,nan,nan
6.573551042048736632e-04,1.111094721981996294e-03,5.951347461913103314e-04,6.845139449211299319e-04
6.591111489730636878e-04,1.106693950282434296e-03,6.039317204863175678e-04,6.862695015739145483e-04
6.601129753325514016e-04,nan,nan,nan
nan,nan,5.929509483317219271e-04,nan
6.555602255199725068e-04,1.106832800216453081e-03,5.937087138728151109e-04,nan
6.599507319766122117e-04,1.107335593339733122e-03,5.959451056210098366e-04,6.829576041981659865e-04
6.556290345603987260e-04,1.107470975560549383e-03,5.948205958980663788e-04,6.834480054346861412e-04
6.593976702008928726e-04,1.109418737243360580e-03,nan,nan
7.026452620170618073e-04,1.103208325604066549e-03,5.936085613388003383e-04,7.388447237279370658e-04
nan,1.239868110666672314e-03,6.716173554125886864e-04,6.840356201043023719e-04
6.576479664741300291e-04,1.109259636988016613e-03,5.943105329532880760e-04,6.862594892718191760e-04
6.583504662509785102e-04,1.109232280955270477e-03,5.918346714776462304e-04,6.833996943718085399e-04
6.595199523740504031e-04,1.105231553396230021e-03,nan,nan
6.602376819266910467e-04,1.108564741869446984e-03,6.047900375208736844e-04,6.846756814926300552e-04
nan,nan,nan,nan
6.637601556893962720e-04,1.105297869660809172e-03,5.947325739168352228e-04,6.843491509142848699e-04
6.590668603570924624e-04,1.108883106162850390e-03,5.976117632173477820e-04,6.854431367064096371e-04
